INFO 2025-07-19 10:24:19,187 basehttp 20860 20928 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,195 basehttp 20860 6344 "GET /static/admin/js/collapse.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,195 basehttp 20860 5644 "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,195 basehttp 20860 20928 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,195 basehttp 20860 5644 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,195 basehttp 20860 6344 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,208 basehttp 20860 5644 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,208 basehttp 20860 6344 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,215 basehttp 20860 5644 "GET /static/admin/js/inlines.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,216 basehttp 20860 6344 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,219 basehttp 20860 5644 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,222 basehttp 20860 6344 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,225 basehttp 20860 20928 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-19 10:24:19,226 basehttp 20860 6344 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,226 basehttp 20860 5644 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,231 basehttp 20860 6344 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,231 basehttp 20860 20928 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,252 basehttp 20860 20928 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,252 basehttp 20860 6344 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,266 basehttp 20860 20928 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,266 basehttp 20860 6344 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,266 basehttp 20860 5644 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,268 basehttp 20860 20928 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2025-07-19 10:24:19,312 basehttp 20860 20928 "GET /static/admin/img/inline-delete.svg HTTP/1.1" 304 0
WARNING 2025-07-19 10:24:19,481 log 20860 20928 Not Found: /favicon.ico
WARNING 2025-07-19 10:24:19,481 basehttp 20860 20928 "GET /favicon.ico HTTP/1.1" 404 3225
INFO 2025-07-19 10:24:25,634 basehttp 20860 20928 "GET /admin/shop/product/add/ HTTP/1.1" 200 38369
INFO 2025-07-19 10:24:25,658 basehttp 20860 20928 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-19 10:25:18,394 autoreload 17264 27352 Watching for file changes with StatReloader
WARNING 2025-07-19 10:25:28,229 log 17264 7968 Not Found: /
WARNING 2025-07-19 10:25:28,229 basehttp 17264 7968 "GET / HTTP/1.1" 404 3174
WARNING 2025-07-19 10:25:28,356 log 17264 7968 Not Found: /favicon.ico
WARNING 2025-07-19 10:25:28,356 basehttp 17264 7968 "GET /favicon.ico HTTP/1.1" 404 3225
INFO 2025-07-19 10:25:39,761 basehttp 17264 19232 "GET /admin/ HTTP/1.1" 200 12365
INFO 2025-07-19 10:25:39,794 basehttp 17264 19232 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-07-19 10:25:44,763 basehttp 17264 19232 "GET /admin/shop/product/ HTTP/1.1" 200 13653
INFO 2025-07-19 10:25:44,795 basehttp 17264 19232 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-07-19 10:25:44,795 basehttp 17264 13204 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-07-19 10:25:44,799 basehttp 17264 13204 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-07-19 10:25:44,802 basehttp 17264 20156 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-19 10:25:44,820 basehttp 17264 20156 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2025-07-19 10:25:48,099 basehttp 17264 20156 "GET /admin/shop/product/add/ HTTP/1.1" 200 38369
